sza,local_time,mlt,mlat,lat,rio,date,S_sn,mS_sn,S_avcc,mS_avcc,S_avmb,mS_avmb,S_sw,mS_sw
26.861,12.842,11.478,55.277,49.320,pen,2014-06-06 19:31:00,-4.395,-0.777,-4.677,-0.874,-2.277,-0.017,-3.724,-0.592
56.574,17.375,17.020,54.785,45.400,ott,2014-06-11 21:03:00,-1.298,0.399,-1.514,0.249,-0.340,0.202,-0.959,0.695
41.524,16.375,14.678,59.067,49.920,brd,2014-06-11 21:03:00,-1.213,0.493,-1.400,0.349,-0.312,0.238,-0.888,0.831
31.117,14.375,13.011,55.277,49.320,pen,2014-06-11 21:03:00,-1.616,0.301,-1.834,0.177,-0.478,0.317,-1.228,0.524
28.960,14.542,14.036,54.785,45.400,ott,2014-06-12 18:13:00,-1.815,0.368,-2.009,0.240,-0.651,0.198,-1.418,0.689
26.986,13.542,11.694,59.066,49.920,brd,2014-06-12 18:13:00,-0.332,-0.099,-0.371,-0.112,-0.091,-0.023,-0.259,-0.078
31.241,11.542,10.027,55.277,49.320,pen,2014-06-12 18:13:00,-1.599,0.585,-1.771,0.414,-0.580,0.104,-1.244,0.671
58.248,17.542,17.180,54.785,45.400,ott,2014-06-12 21:13:00,-0.961,0.657,-1.115,0.400,-0.116,-0.067,-0.693,0.522
42.912,16.542,14.838,59.066,49.920,brd,2014-06-12 21:13:00,-0.261,-0.078,-0.298,-0.089,-0.042,-0.012,-0.196,-0.060
32.113,14.542,13.171,55.277,49.320,pen,2014-06-12 21:13:00,-1.393,0.396,-1.579,0.253,-0.304,0.169,-1.036,0.745
69.171,18.592,18.198,54.785,45.400,ott,2014-06-12 22:16:00,-0.105,0.675,-0.253,0.655,-0.091,-0.111,0.042,0.358
52.648,17.592,15.856,59.066,49.920,brd,2014-06-12 22:16:00,-0.166,-0.077,-0.197,-0.090,-0.000,-0.008,-0.119,-0.058
